Tm_avg,Tx_avg,P_avg,Extreme_Heat_Count,Annual_Yield,Yield_Std_5yr,Tm_z,Tx_z,P_z,Cumulative_Heat,Stability
2.100732860658316,1.6367657959554076,-1.066761581,0.8903946345427668,41,1.7464249196572303,2.1200948631454617,1.6518515138996872,-1.076593693,20293,high
1.3688585060665492,1.739005567423375,-0.03685445,1.068814180584673,40.5,1.4747881203751694,1.3814749802005835,1.7550336073289667,-0.03719413,21134,high
0.41045161314875883,0.8018076623003211,1.1462103417228424,-1.228337475,38,1.4747881203751694,0.4142346572965753,0.8091977508938861,1.1567747156624546,21460,high
1.4908375651651768,1.3215265005958334,0.039724380428592033,1.028669782725244,40.5,8.212612251896466,1.5045782940247294,1.3337067258260678,0.040090511490307804,22292,low
0.23619581443643325,0.9125674147239541,-0.544775266,0.7610404636623849,38,7.749516113926084,0.23837278040493745,0.9209783521089404,-0.549796342,23064,low
-0.077464623,0.10316922393586098,0.8398950191046588,-0.425449518,21.1,7.497466238670242,-0.078178598,0.10412011246046068,0.8476361506656444,23570,low
-0.51310412,-0.2887499,0.6242240266490005,-1.406757021,33.9,7.282513302425208,-0.51783329,-0.291411246,0.6299773651066672,23856,low
0.35817487353506156,0.9892472433249313,-0.310350274,0.042901791,31.9,7.904745410195074,0.3614760942290844,0.9983649221809017,-0.313210706,24467,low
1.8393491625898282,1.5004461006647811,1.0055553466430638,0.28822866665133373,39.6,5.666303909957518,1.8563020478080052,1.5142753893273115,1.0148233337761638,25133,low
0.34946208359944547,0.8699675099456328,-1.221482075,0.6718306906414319,41,5.859180830116089,0.3526830003845027,0.8779858131800725,-1.232740213,25885,low
-0.138454153,0.2565288811378153,1.7947861523684823,-1.1792721,46,4.896937818678093,-0.139730255,0.25889325260438306,1.8113283099159012,26222,medium
-0.303997162,-0.987388338,0.22413870731096597,-1.446901419,33,4.873602363755147,-0.306799038,-0.996488884,0.22620454551899782,26499,medium
